shape size Cd Cl
circle 0.03125 2.1103303955944517 -0.012461305711612802
circle 0.041666666666666664 1.534881623850092 -0.008777438986968965
circle 0.0625 1.4124062335294458 -0.00661721961041842
circle 0.08333333333333333 1.2733528471551945 -0.006366824723927173
circle 0.125 1.176791968975675 -0.0054736681113261455
circle 0.16666666666666666 1.117928680984658 -0.005391641611870445
circle 0.25 1.321461395569285 -0.0057997276331217176
circle 0.3333333333333333 1.5515809734311297 -0.006355960093470246
rect 0.03125 2.040139527508061 -0.017702877526587175
rect 0.041666666666666664 1.7807962450441726 -0.009999390070606639
rect 0.0625 1.6193790128986971 -0.008619779400065083
rect 0.08333333333333333 1.5408432478516174 -0.007725330737847031
rect 0.125 1.5135936989385512 -0.006603602614505165
rect 0.16666666666666666 1.593454029953066 -0.005946503488451034
rect 0.25 1.9719785571243231 0.015255945355443645
rect 0.3333333333333333 2.6249101806305473 -0.006586805063633358
halfcircle 0.03125 2.2320986663982687 -0.006559406157751277
halfcircle 0.041666666666666664 1.7497332077462093 -0.006260109073890933
halfcircle 0.0625 1.5851644679250825 -0.005452494513925965
halfcircle 0.08333333333333333 1.4246847902209523 -0.0056116698228397145
halfcircle 0.125 1.2938165321564927 -0.0056458371522908205
halfcircle 0.16666666666666666 1.2309648674603602 -0.006152729515965171
halfcircle 0.25 1.3669325285338654 -0.006055464238864695
halfcircle 0.3333333333333333 1.577971636979612 -0.006959157519767239
triangle 0.03125 2.2194155316681505 -0.006537464060689573
triangle 0.041666666666666664 1.7378445306392643 -0.00623794881683429
triangle 0.0625 1.7378445306392643 -0.00623794881683429
triangle 0.08333333333333333 1.359263292659902 -0.006305180374142223
triangle 0.125 1.2621241885475174 -0.006426616864667364
triangle 0.16666666666666666 1.1582563142683457 -0.006778938897972897
triangle 0.25 1.101514512256014 -0.007616961480431254
triangle 0.3333333333333333 1.1459423675514344 -0.00859040223967401
moon 0.03125
moon 0.041666666666666664 1.62919741747837 -0.005906642550339902
moon 0.0625 1.5903551237790132 -0.005634569013109373
moon 0.08333333333333333 1.4262162848203308 -0.00590693765846298
moon 0.125 1.2904353953839736 -0.005770359081081701
moon 0.16666666666666666 1.2269255872434763 -0.0061814446494148625
moon 0.25 1.3628798126278665 -0.006020243430941307
moon 0.3333333333333333 1.5743967791176599 -0.006890197380981744
bullet 0.03125 2.1103303955944517 -0.012461305711612802
bullet 0.041666666666666664 1.6066139993368478 -0.010554366324073212
bullet 0.0625 1.4821362974836085 -0.00917097289901292
bullet 0.08333333333333333 1.33202333959238 -0.008872795954989241
bullet 0.125 1.2339820179574146 -0.008378668380494322
bullet 0.16666666666666666 1.1969513625927524 -0.008562203255476561
bullet 0.25 1.381385040650219 0.033881434131728
bullet 0.3333333333333333 1.696906065964058 -0.010541273861119218
