shape Re Cd Cl
moon 95 0.08407685445944718 -0.0004992931959245126
moon 97 0.08159861703098097 -0.00048610980482876324
moon 99 0.0792467600206929 -0.00047354427894555703
moon 101 0.07701222228195619 -0.00046155550150635353
moon 103 0.07488676720230288 -0.00045010584749343195
moon 105 0.07286289271401127 -0.00043916082291137117
bullet 55 0.1777006740810899 -0.0015515500301981641
bullet 57 0.16803204000694247 -0.0014828834508552175
bullet 59 0.15923859011616343 -0.0014196685672563055
bullet 61 0.15121301786701657 -0.0013612704216208523
bullet 63 0.14386427101053664 -0.0013071496918905534
bullet 65 0.13711465846660006 -0.0012568455883580788
bullet 67 0.1308975436073509 -0.0012099622141093116
bullet 69 0.12515549151902514 -0.0011661576101580022
bullet 71 0.11983877059498832 -0.0011251349003258196
bullet 73 0.11490413281166609 -0.0010866350911855143
bullet 75 0.11031381477622618 -0.0010504311856521246
bullet 77 0.10603471486248041 -0.0010163233455692097
bullet 79 0.10203771170041902 -0.0009841348966398435
bullet 81 0.09829709682754958 -0.0009537090132272081
bullet 83 0.09479010007291104 -0.0009249059544488292
bullet 85 0.09149649067877806 -0.0008976007494110106
bullet 87 0.08839824060074457 -0.0008716812499002707
bullet 89 0.08547923910592863 -0.0008470464850225659
bullet 91 0.08272504989153862 -0.0008236052649863029
bullet 93 0.08012270360525414 -0.0008012749913041613
bullet 95 0.07766051996624579 -0.000779980638738426
bullet 97 0.07532795473674105 -0.0007596538806831931
bullet 99 0.0731154676373309 -0.000740232334883566
bullet 101 0.07101440797885042 -0.0007216589104282612
bullet 103 0.06901691533430762 -0.0007038812404153816
bullet 105 0.06711583302193659 -0.0006868511872768835
