shape Re Cd Cl
circle 55 0.17827375618809344 -0.0008901285041862316
circle 57 0.16884424653916483 -0.0008483930967015462
circle 59 0.16025370577871795 -0.0008100860561768867
circle 61 0.15240046796169054 -0.0007747962215469231
circle 63 0.1451981392425278 -0.0007421765215347179
circle 65 0.1385728958108922 -0.0007119321393071361
circle 67 0.13246132716731562 -0.000683811128383386
circle 69 0.1268087019458406 -0.0006575969228801793
circle 71 0.12156756383213387 -0.0006331023237359488
circle 73 0.11669658734430156 -0.0006101646431761889
circle 75 0.11215963967228312 -0.0005886417636801737
circle 77 0.10792500702932718 -0.0005684089230236695
circle 79 0.10396475319343604 -0.0005493560786611581
circle 81 0.10025418491482395 -0.0005313857365461456
circle 83 0.09677140421506852 -0.0005144111539198588
circle 85 0.0934969317233349 -0.0004983548445312283
circle 87 0.0904133883889374 -0.00048314732944861624
circle 89 0.08750522540231312 -0.00046872608816542904
circle 91 0.08475849411390825 -0.0004550346737259652
circle 93 0.08216064928677624 -0.0004420219627548211
circle 95 0.07970038024705205 -0.00042964151688302887
circle 97 0.07736746547763053 -0.00041785103660279513
circle 99 0.0751526469878011 -0.00040661189207387796
circle 101 0.07304752142720655 -0.00039588871835810694
circle 103 0.07104444542730845 -0.00038564906473813717
circle 105 0.06913645307296883 -0.0003758630897175009
rect 55 0.22381324864588878 -0.0011464345254371508
rect 57 0.21183408298024387 -0.0010954080743515483
rect 59 0.2009298260303628 -0.0010483405770593498
rect 61 0.1909694077458012 -0.0010047661843198346
rect 63 0.18184153925944083 -0.0009642910713852517
rect 65 0.17345120030652958 -0.000926580220018995
rect 67 0.165716837564565 -0.0008913469413734968
rect 69 0.15856811351456931 -0.0008583445054834083
rect 71 0.15194408510547172 -0.0008273594076896409
rect 73 0.14579172055766304 -0.0007982059189848646
rect 75 0.14006468411894457 -0.0007707216513158566
rect 77 0.13472233460568117 -0.0007447639306897067
rect 79 0.1297288956126799 -0.0007202068168644965
rect 81 0.1250527644135942 -0.0006969386432828211
rect 83 0.12066593355620471 -0.000674859977368266
rect 85 0.11654350453098183 -0.0006538819220182089
rect 87 0.11266327705602822 -0.0006339246950085908
rect 89 0.10900540076946393 -0.0006149164356661981
rect 91 0.10555207867005001 -0.0005967921980811701
rect 93 0.10228731365926554 -0.0005794930979469436
rect 95 0.09919669113625473 -0.000562965586451939
rect 97 0.09626719187231575 -0.0005471608295617443
rect 99 0.09348703041531353 -0.0005320341751413169
rect 101 0.09084551509926872 -0.0005175446934892906
rect 103 0.0883329264029243 -0.0005036547795250606
rect 105 0.08594041094496659 -0.0004903298069344448
halfcircle 55 0.19043585041928468 -0.0010046411244421113
halfcircle 57 0.18024491870360557 -0.0009577696752153784
halfcircle 59 0.17096942605405827 -0.0009147523642660451
halfcircle 61 0.16249760596397148 -0.0008751402235633409
halfcircle 63 0.1547345810894406 -0.0008385511799284924
halfcircle 65 0.14759936058280299 -0.000804658137657114
halfcircle 67 0.14102244585021045 -0.0007731794839814512
halfcircle 69 0.13494390728879296 -0.0007438714712955759
halfcircle 71 0.12931182861118765 -0.0007165220643756591
halfcircle 73 0.12408104028173322 -0.0006909459393161777
halfcircle 75 0.1192120819969555 -0.0006669803939544903
halfcircle 77 0.11467034786696495 -0.0006444819842032798
halfcircle 79 0.11042537827420017 -0.0006233237419577592
halfcircle 81 0.10645027020866307 -0.0006033928616738767
halfcircle 83 0.1027211838546411 -0.0005845887666919386
halfcircle 85 0.09921692780174605 -0.0005668214849779861
halfcircle 87 0.09591860881545018 -0.0005500102782346171
halfcircle 89 0.09280933488022984 -0.0005340824796106387
halfcircle 91 0.0898739624083505 -0.0005189725039334752
halfcircle 93 0.08709888022804609 -0.0005046210013566489
halfcircle 95 0.08447182433069345 -0.0004909741307354042
halfcircle 97 0.08198171844692631 -0.0004779829334270379
halfcircle 99 0.07961853639604811 -0.000465602791663134
halfcircle 101 0.07737318285823443 -0.00045379295844638097
halfcircle 103 0.07523738979008061 -0.0004425161481567866
halfcircle 105 0.07320362616864945 -0.0004317381789057346
triangle 55 0.18499512350729108 -0.001114322922454833
triangle 57 0.17506113845310792 -0.0010600436163347429
triangle 59 0.16602153043345794 -0.0010103432207756026
triangle 61 0.15776699512914574 -0.0009646838622984869
triangle 63 0.15020475527639163 -0.0009226073453840307
triangle 65 0.1432556221215249 -0.0008837211500569246
triangle 67 0.1368516520130228 -0.0008476872337618435
triangle 69 0.13093426380906292 -0.0008142130140208851
triangle 71 0.12545271602207855 -0.0007830440597782241
triangle 73 0.12036286695579075 -0.0007539581309909818
triangle 75 0.1156261590745775 -0.0007267602890935709
triangle 77 0.11120878225788097 -0.0007012788634076245
triangle 79 0.10708098068141993 -0.0006773621057631
triangle 81 0.10321647571746763 -0.0006548754016617819
triangle 83 0.09959198309232913 -0.0006336989339408307
triangle 85 0.0961868070384657 -0.0006137257163043891
triangle 87 0.09298249766553357 -0.0005948599306864659
triangle 89 0.08996256049429814 -0.000577015515433057
triangle 91 0.08711220923220526 -0.0005601149614902962
triangle 93 0.08441815455466406 -0.0005440882818775734
triangle 95 0.08186842299422113 -0.0005288721261556404
triangle 97 0.07945220110799107 -0.0005144090167084639
triangle 99 0.07715970095054715 -0.000500646687792979
triangle 101 0.0749820435705381 -0.0004875375116017573
triangle 103 0.07291115780885016 -0.0004750379983016488
triangle 105 0.07093969213151843 -0.0004631083591689225
moon 55 0.18959077844262873 -0.0010194177471895523
moon 57 0.17943910619356224 -0.000972004571786453
moon 59 0.17019999123509055 -0.0009284874477472098
