Re Cd Cl
10.0 3.225118068490984 -0.01742326882710038
20.0 0.9318864347600112 -0.0044473181901260594
30.0 0.4678306051729916 -0.0022204176626980194
40.0 0.29300282251997845 -0.001434505188624896
50.0 0.2064499997341369 -0.0010562502356848858
60.0 0.15629447811877703 -0.000819035261893521
70.0 0.12418145888249206 -0.0006743644126907454
80.0 0.10212327806867841 -0.0005635493255810517
90.0 0.08614819471835368 -0.0004829449816265985
100.0 0.07411557044487783 -0.0004181015384723208
110.0 0.06477103714366143 -0.00037196994155378664
120.0 0.05731957578612967 -0.00033203855853231967
130.0 0.0512536593927103 -0.00029310256526123756
140.0 0.046234765411222026 -0.0002609762221619516
150.0 0.04202341242439361 -0.0002445539754967937
160.0 0.03843459157651143 -0.00022237748781168618
180.0 0.032669622647776335 -0.00019132023148502655
190.0 0.030336229034523814 -0.00017619868993962173
200.0 0.028260120610071805 -0.0001626735197327506
210.0 0.026427611875638822 -0.00015501547253389205
220.0 0.024776486749439598 -0.00014013503055802665
230.0 0.023304417950909907 -0.00013026827093445224
240.0 0.021986696028596896 -0.00012216272007907247
250.0 0.020763092427547116 -0.00011276769163625302
260.0 0.019666428438166992 -0.00010452607797023718
270.0 0.018659037480265313 -9.130956071432095e-05
280.0 0.01774016895331356 -7.905619076158509e-05
290.0 0.01689687143148661 -6.692321452173215e-05
300.0 0.01611869962782827 -5.38649320766027e-05
310.0 0.015394973060310966 -3.7368193029946857e-05
320.0 0.014726710593377929 -2.3150668973006758e-05
330.0 0.014103369331924692 -5.20364491467125e-06
340.0 0.01353367830740362 1.9484694478021828e-05
350.0 0.012990119088034505 4.683027413171345e-05
360.0 0.012493956596752105 7.187265763762551e-05
370.0 0.01201969879175073 0.00010228996302953613
380.0 0.011580187977907924 0.0001370162598127839
390.0 0.011172669469778167 0.00017360818161693548
400.0 0.01078821074305701 0.00021493924669654108
410.0 0.010426062185912206 0.00025901166474507877
420.0 0.010091853676287673 0.0003022812372604713
430.0 0.009772100407547574 0.0003501291322368145
440.0 0.009477770762485533 0.0004005065675306625
450.0 0.009198731723997811 0.0004473701064170628
460.0 0.008932990523890532 0.0004975751275042235
470.0 0.008687297073831118 0.0005478399115869139
480.0 0.00846268577950684 0.0005978961214439284
490.0 0.008241645694995648 0.0006487253933809012
500.0 0.008039160186381922 0.0006964140384288853
510.0 0.007845203426469969 0.0007418476386490227
520.0 0.007661877758998019 0.0007886358538378553
530.0 0.007488305000379057 0.0008321070215659452
540.0 0.0073291602533873445 0.0008731163973384366
550.0 0.007170819142042245 0.0009121488212641247
560.0 0.007021862948210782 0.000948656667450474
570.0 0.006884733849209337 0.0009801067202789174
580.0 0.006751071889856341 0.0010051776983871677
590.0 0.006618084061917257 0.0010275003229601066
600.0 0.006497301513100409 0.001043406284171012
610.0 0.006378333485429216 0.0010499244836599665
620.0 0.006264022612542731 0.001050683588146478
630.0 0.0061475831356945666 0.0010425827870952523
640.0 0.006040077021227936 0.0010247133082155607
650.0 0.005932551828599953 0.0009974745858497473
660.0 0.005830610593090368 0.0009612940320807435
670.0 0.005722007412607471 0.0009143015392666758
680.0 0.005616664562454421 0.0008565253704189505
690.0 0.005516948090288523 0.0007956810367946652
700.0 0.005408062106229634 0.0007248789350021831
710.0 0.005306339510181056 0.0006471075823970996
720.0 0.005202206099520582 0.0005695040698152191
730.0 0.005096555031176343 0.00048405361806366814
740.0 0.004995567196113107 0.00040267712687704863
750.0 0.0048982415020354265 0.00032164760095653756
760.0 0.004806366479393405 0.00024150469716171047
770.0 0.004721662361680013 0.00016245001093464004
780.0 0.004645520796993116 8.444091059434893e-05
790.0 0.004578805635890777 7.310515549134502e-06
800.0 0.004521766630512275 -6.91153472881463e-05
810.0 0.004474080619425002 -0.0001449274797654466
820.0 0.004434995994154903 -0.00022008077636523213
830.0 0.004403534576952743 -0.0002943790450780563
840.0 0.004378706032948309 -0.0003674858533514338
850.0 0.004359704223175678 -0.00043894213743964696
860.0 0.0043460681879033975 -0.0005081657940280614
870.0 0.004337795568517636 -0.0005744057828416377
880.0 0.004335396019559546 -0.0006366223831549081
890.0 0.004339871571639514 -0.0006932624382774109
900.0 0.0043526093210206505 -0.0007418920433333093
910.0 0.004375164564937325 -0.0007786487601003734
920.0 0.004408901321111184 -0.0007975120467512137
930.0 0.0044544610736421 -0.0007895258954453898
940.0 0.00451108291331973 -0.0007424234673650807
950.0 0.004575893809356106 -0.00064160194185142
960.0 0.004643254128832141 -0.00047373789981322855
970.0 0.0047038405096934705 -0.00023367753746557457
980.0 0.004743260613463749 6.703204553567815e-05
990.0 0.004743164801784326 0.00039484402824627814
1000.0 0.004690982847693004 0.0006998223443303376
