shape size Cd Cl
bullet 0.1875 1.2348150120064265 -0.00849988052281783
bullet 0.203125 1.3196869529078485 -0.00784655257479097
bullet 0.21875 1.3040694200168077 -0.008488015024281672
bullet 0.234375 1.336228419318975 -0.008681737276489859
bullet 0.25 1.381385040650219 0.033881434131728
bullet 0.265625 1.4372581794943038 -0.008748291999858566
bullet 0.28125 1.4778180800830683 -0.00937912262031966
bullet 0.296875 1.5323247173554244 -0.010061879045198457
bullet 0.3125 1.6206817335936263 -0.009666593966827147
bullet 0.328125 1.6862619399649275 -0.010575136693241812
bullet 0.34375 1.7429336131432955 -0.011693037700010312
bullet 0.359375 1.8280148913955105 -0.012150890527571652
