shape theta Cd Cl
triangle 105 0.05804871921948415 0.003784077178334652
triangle 110 0.05614319994538153 -0.01346138852758148
triangle 115 0.05572478561955901 -0.03594395431326003
triangle 120 0.06117016612746457 -0.045667703345366246
triangle 125 0.06366184366105765 -0.04803938511339286
triangle 130 0.07247116481352954 -0.0587059631969771
triangle 135 0.074651432844839 -0.06000953023832654
triangle 140 0.07630485737119813 -0.05684808211607429
triangle 145 0.08311739927525566 -0.04791607580303522
triangle 150 0.08400454878289704 -0.046971551574135795
triangle 155 0.0876898766409248 -0.03755775391531865
triangle 160 0.08884652075031377 -0.02877128620132812
triangle 165 0.09339038795602493 -0.021645221302280783
triangle 170 0.09571498837000432 -0.02075775136226796
triangle 175 0.0962184009831173 -0.0006022377439485571
triangle 180 0.09611494493155404 8.145888655659545e-05
moon 0 0.07286289271401127 -0.00043916082291137117
moon 5 0.07284293462643109 0.0016418066043218584
moon 10 0.07317023937680037 -0.00032350767318020706
moon 15 0.07599306002497785 0.005964993571448808
moon 20 0.07585454047431416 0.008086362246593265
moon 25 0.07695086333702172 0.00670453244356573
moon 30 0.07736569496718927 0.008877500443536123
moon 35 0.07781843468243395 0.007871679955901132
moon 40 0.07901535073343566 0.015629440580253024
moon 45 0.08076175008471823 0.016928048321502315
moon 50 0.0806097489400932 0.016704074791709725
moon 55 0.07862218145759235 0.02325363288706674
moon 60 0.07855536043036404 0.023236362005386278
moon 65 0.07986473815331659 0.029306096652352613
moon 70 0.08001673065980829 0.030116823604598754
moon 75 0.07832842381143354 0.028251151495896656
moon 80 0.07832842381143354 0.028251151495896656
moon 85 0.07964945935661198 0.009065971110066046
moon 90 0.07964945935661198 0.009065971110066046
moon 95 0.07964945935661198 0.009065971110066046
moon 100 0.06677075591584938 -0.015674741221745225
moon 105 0.06677075591584938 -0.015674741221745225
moon 110 0.06520521842851364 -0.0341230403315961
moon 115 0.06586493847787206 -0.03748983912353461
moon 120 0.06640536516445164 -0.04374964843670397
moon 125 0.06803829964954355 -0.044157590325963336
moon 130 0.07262228949714386 -0.046002460426145225
moon 135 0.07443823726926702 -0.04375610603275266
moon 140 0.07566725572519781 -0.04823125658323418
moon 145 0.08143596292836482 -0.037976905330951494
moon 150 0.08301370657925015 -0.03500805558102769
moon 155 0.08633900349378808 -0.03109342192213582
moon 160 0.08630494945090385 -0.02986588265957187
moon 165 0.09277575338282891 -0.02470169738752898
moon 170 0.09146032093382432 -0.016469505299467564
moon 175 0.09354738437291725 -0.008193038623189213
moon 180 0.09201423636934802 5.938471062016154e-05
bullet 0 0.06711583302193659 -0.0006868511872768835
bullet 5 0.06736885291900822 -0.0031000983477943596
bullet 10 0.0638822700021096 -0.007851010473680014
bullet 15 0.06459055281275783 -0.008755794673102986
bullet 20 0.06532807531336912 -0.009815978212679322
bullet 25 0.06494479311300444 -0.013737164463125798
bullet 30 0.0662206333076265 -0.012335523719113638
bullet 35 0.06715719262231565 -0.012556917310198661
bullet 40 0.0683330456401199 -0.010709786199585779
bullet 45 0.06960475318874888 -0.009476917370789657
bullet 50 0.07054298388930598 -0.007444293440993455
bullet 55 0.07269311125296643 -0.004022524447562996
bullet 60 0.0721152073054698 0.00037887681365096474
bullet 65 0.07194855714742142 0.0005033942646719963
bullet 70 0.0746361071282964 0.004683191758653166
bullet 75 0.07411240160655974 0.00657877119501625
bullet 80 0.0779129527602741 0.009410422998982721
bullet 85 0.0740600734769065 0.00817594031150373
bullet 90 0.07705407578745388 0.010830431757794343
bullet 95 0.07231131705750717 0.006327928012208861
bullet 100 0.06881900008753848 0.007300786060791367
bullet 105 0.06659037759298433 0.004237226359668421
bullet 110 0.06581870361339691 0.0018083374952431734
bullet 115 0.06261869381927754 -0.0034968323468611336
bullet 120 0.06264947962797358 -0.005134749139119321
bullet 125 0.06302633699692614 -0.00675150361235372
bullet 130 0.0633558766258675 -0.009609059975834285
bullet 135 0.06385379381888745 -0.010831331113383991
bullet 140 0.06543219573396619 -0.01083058739666993
bullet 145 0.06858652986014882 -0.012490614641482397
bullet 150 0.06829972147161252 -0.009609951317799705
bullet 155 0.06966998600193627 -0.013260966113581575
bullet 160 0.07525038328226152 -0.008591934513801781
bullet 165 0.07630888243218371 -0.007680842369444699
bullet 170 0.08351078679075624 -0.0075836711217842296
bullet 175 0.07909781337773028 -0.0012606329414389652
bullet 180 0.08763933774697724 -0.00014671312218179092
